Harmonized Category,Examples from Sources,Typical Scale
Governance & Institutions,"Municipalities, national governments, sub-national/regional authorities, and specific agencies like the Kenya Urban Roads Authority.",National; Regional; City
Vulnerable Groups,"Urban poor, slum and informal settlement residents, displaced populations, vulnerable families, and those facing food insecurity.",Individual; Household; Community
Urban communities,"Urban populations, local communities, city residents, and visitors to public squares.",City; Community
Ecological & Natural Systems,"Coastal zones, local ecosystems and biodiversity, river basins, and natural heritage sites like hot springs.",Regional; National
Economic & Built Sectors,"The transport sector, construction and real estate industries, and specific built structures in high-risk areas.",National; City
,,
,,
Harmonized Benefit Type,Definition,Key Examples from the Sources
Physical Infrastructure,Direct construction or structural strengthening of the built environment and public spaces to withstand climate impacts and provide ecosystem services.,"Relocation to a green model village, underground soakaways, pocket parks, affordable housing construction, and strengthening rural homesteads."
Risk Mgmt & Response,"The establishment of systems, protocols, and immediate aid designed to predict, prepare for, and mitigate the damage from climate-related disasters.","Early warning systems, flood risk management systems, disaster preparedness frameworks, and emergency relief for food-insecure populations."
Essential Services,"Improvements to basic public utilities and services (such as water, sanitation, energy, and waste) that ensure they remain functional and accessible under climate stress.","Irrigation services, access to treated drinking water, urban sewer connections, renewable energy transitions, and urban waste segregation and recycling."
Policy & Planning,"The creation of strategic frameworks, regulatory codes, and funding mechanisms that institutionalize climate adaptation into official government processes.","Funding for municipal interventions, incorporating climate change into urban planning, municipal adaptation plans, national building codes, and coastal zone plans."
Knowledge & Awareness,"Initiatives focused on capacity building, data accessibility, and research to improve the ability of decision-makers and the public to respond to climate change.","Capacity building for vulnerability assessments, integrated water-energy data systems, climate risk identification, health adaptation training for ""Master Trainers"", and adaptation blueprints."
Economic Development,"Programs that utilize financial incentives, tourism, and livelihood support to create economic value while simultaneously fostering climate resilience.","Agroforestry for food and feed security, economic mechanisms for habitat conservation, ""CITY MARKETING"" for green season tourism, and economic value assessments for ecosystem services."
,"The restoration, rehabilitation, or enhancement of degraded ecosystems and natural processes (such as vegetation cover, biodiversity, soils, and hydrology) to improve ecological functioning and strengthen landscape resilience to climate impacts.","Reforestation and afforestation of degraded landscapes, restoration of wetlands and riparian ecosystems, mangrove rehabilitation and coastal habitat restoration"
