"Country","Document","Year of Submission","HazardSystem","HazardPriority","HazardAction","HazardResult","SystemPriority","SystemAction","SystemResult","Ev_HazardSystem","Ev_HazardPriority","Ev_HazardAction","Ev_HazardResult","Ev_SystemPriority","Ev_SystemAction","Ev_SystemResult"
"Algeria","BTR",2024,1,1,1,1,1,1,1,"[4932 • System at risk] The effects of climate change are manifested by shorter rainy seasons, intense heat waves, an increase in flooding, a drastic reduction in water supply to watersheds, significant drawdowns in several …","[5007 • Adaptation priorities] Develop sowing techniques in marginal areas and areas that are fragile and sensitive to erosion","[5041 • Action] Development of a flood risk prevention plan in the Seybouse watershed (PPRI)","[5043 • Result] Development and implementation of the Seybouze PPRI The hazard and issue maps must be extended to the entire territory to identify the red and blue zones, sensitive to flooding.","[5015 • Adaptation priorities] Restoration of the steppe ecosystem through the regeneration of alfa","[4994 • Action] Development and extension of irrigation (drip) in water-saving system","[4996 • Result] We went from 757,494 ha irrigated in 2018 to 996,807 ha in 2022. Water savers have enabled water savings of more than 20%, or the water requirement of 200,000 ha"
"Andorra","BTR",2023,1,0,1,0,0,1,0,"[5630 • System at risk] Vulnerability of ski resorts, due to the decrease in natural snow, which depends on altitude.",NA,"[5648 • Action] The diversification of snow tourism towards mountain or nature tourism (more (seasonally adjusted). The figures show that the annual number of tourists has not decreased recent years and the numbe…",NA,NA,"[5648 • Action] The diversification of snow tourism towards mountain or nature tourism (more (seasonally adjusted). The figures show that the annual number of tourists has not decreased recent years and the numbe…",NA
"Argentina","BTR",2024,1,1,0,0,1,0,0,"[5666 • System at risk] Risk of health problems for people due to floods (physical damage, infections and health effects) mental).","[5694 • Adaptation priorities] Develop cartography of the areas most vulnerable to desertification due to climatic factors in the future scenarios.",NA,NA,"[5695 • Adaptation priorities] Strengthening design and maintenance of infrastructures of resilient transport climate, including railways, roads (including bridges and tunnels), roads rural, ports and airports.",NA,NA
"Australia","BTR",2024,1,1,1,1,1,1,1,"[8042 • System at risk] climate change is expected to affect human life and health through a variety of channels, from acute impacts associated with natural disasters to the slow-onset changes such as increases in average te…","[8086 • Adaptation priorities] • Urban Water Strategy: A strategy will be developed to integrate management of recycled water (including stormwater) and mains water to support liveability and climate resilience.","[8100 • Action] Developing a National Heat-Health Action Plan to minimise the health impacts of heat.","[8102 • Result] The Critical Infrastructure Risk Management Program (CIRMP) is intended to uplift core security practices that relate to the management of certain critical infrastructure assets. The CIRMP framework r…","[8066 • Adaptation priorities] Many states and territories publish regular reports on observed and projected impacts of climate change. This evidence base supports governments to plan and implement effective adaptation at the local…","[8097 • Action] Completing the health component of Australia’s National Climate Risk Assessment.","[8095 • Result] For the private sector, recent and new climate risk disclosure and management requirements for large listed and unlisted businesses, financial institutions and critical infrastructure will together pr…"
"Austria","BTR",2024,0,1,0,1,1,1,1,NA,"[1944 • Adaptation priorities] The strategy emphasizes protection for vulnerable groups, including low-income households, the elderly, and those in rural or high-risk areas. Tailored adaptation measures, such as targeted public hea…",NA,"[1961 • Result] In the water sector progress has been made regarding flood risk management and aquatic ecology.","[1933 • Adaptation priorities] Regular Progress Monitoring: Adaptation is an ongoing process, with systematic monitoring and iterative learning forming the foundation for success. Austria plans adaptation evaluations on a five-year…","[1945 • Action] In 2016, the KLAR! programme for Climate Adaptation Model Regions has been launched to support Austrian regions and municipalities in preparing for climate change by implementing adaptation measures i…","[1959 • Result] Awareness for the need of adaptation measures in agriculture is continuously increasing. A considerable share of the measures of the Austrian Agri-Environmental Programme contributed to adaptation; al…"
"Belarus","BTR",2024,1,1,0,0,1,0,0,"[5180 • System at risk] Changes in climatic conditions directly or indirectly (through changes in groundwater levels, fires, proliferation of forest pests and aggravation of disease development) affect the condition of fores…","[5134 • Adaptation priorities] Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile soil layer, application of forest reclamation to reduce wind erosion, monitori…",NA,NA,"[5134 • Adaptation priorities] Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile soil layer, application of forest reclamation to reduce wind erosion, monitori…",NA,NA
"Belize","BTR",2024,1,0,0,0,1,0,0,"[325 • System at risk] Prolonged heat waves will also alter the distribution of pests and diseases, further threatening crop resilience and reducing food security",NA,NA,NA,"[354 • Adaptation priorities] The Government of Belize aims to incorporate gender considerations by improving the collection, analysis, and reporting of gender statistics and disaggregated data through regular national surveys …",NA,NA
"Bhutan","BTR",2024,1,1,0,0,1,0,0,"[8192 • Hazard] Local dry spells to increase significantly leading to challenges in meeting growing water demand for drinking, industrial, and irrigation purposes.","[8207 • Adaptation priorities] Access to Resilient Seeds: Ensuring farmers have access to climate-resilient seed varieties will help them adapt to changing climatic conditions and improve yields. This includes developing and distri…",NA,NA,"[8201 • Adaptation priorities] Development of Integrated Agriculture Landscape Systems",NA,NA
"Brazil","BTR",2024,1,0,0,0,0,1,1,"[6494 • System at risk] In 2023, the level of the Acre River rose 17.55 meters and around 56,000 people in Rio Branco were affected. In that same year, an unprecedented drought and heat wave severely impacted the waters of t…",NA,NA,NA,NA,"[6548 • Action] Resilient Green Cities Program:The Resilient Green Cities Program (PCVR, Programa Cidades Verdes Resilientes), established in June 2024, aims to increase the environmental quality and resilience of Br…","[6582 • Result] Progress has been made in increasing scientific knowledge about adaptation to climate change and integrating the issue into other sectoral agendas. The actions reported also indicated the alignment of…"
"Bulgaria","BTR",2024,1,1,1,1,1,1,1,"[164 • System at risk] Climate change poses significant risks to Bulgarian agriculture, with increased frequency of extreme weather events like droughts and floods. Projections indicate rising temperatures (by 2°C to 5°C) a…","[300 • Adaptation priorities] Priorities include improving disaster risk management for floods and droughts, safeguarding critical infrastructure, promoting sustainable land use, and fostering innovation and technology","[286 • Action] Strengthening pest and disease control measures to mitigate the impact of climaterelated changes on crop health","[280 • Result] Improved water retention, reduced flood risks, and enhanced biodiversity, with bird species increasing from 2 to 22 and fish species rising from 2 to 10 within months of the restoration efforts","[289 • Adaptation priorities] Increasing the use of renewable energy in the electricity, heating, cooling, and transport sectors. In the transport sector, the introduction of new-generation biofuels and renewable electricity will …","[285 • Action] Improving the management of existing woodland to enhance ecosystem services and carbon sequestration.","[280 • Result] Improved water retention, reduced flood risks, and enhanced biodiversity, with bird species increasing from 2 to 22 and fish species rising from 2 to 10 within months of the restoration efforts"
"Burkina Faso","BTR",2024,1,0,0,0,0,0,0,"[5252 • System at risk] Since 2022, part of National Road No. 1 has been regularly flooded during the rainy season, leading to the temporary cessation of traffic between the two major cities in the country.",NA,NA,NA,NA,NA,NA
"Cambodia","BTR",2024,1,1,1,1,1,1,1,"[540 • System at risk] Farmers are already frequently facing floods and droughts, which lower agricultural yields and threaten food security","[406 • Adaptation priorities] Increasing the use of mobile pumping stations and permanent stations in responding to mini droughts","[534 • Action] Cambodia has developed a specific Vulnerability Index (VI) to be able to track annually the percentage and number of communes scoring as highly vulnerable or quite vulnerable to three main types of cl…","[594 • Result] The private sector has taken the lead in livestock production by acquiring improved breeds of animals, providing improved animal feed, and processing facilities, reducing animal diseases through vacci…","[409 • Adaptation priorities] Developing climate-proof tertiarycommunity irrigation to enhance the yields from agricultural production of paddy fields","[532 • Action] Under support from Cambodia Climate Change Alliance (CCCA), 15 government’s ministries have developed their own Climate Change Action Plans, which proposed of 171 climate actions projects related to a…","[631 • Result] The Royal Government of Cambodia (RGC) committed to eliminating P. falciparum by 2023 and to eliminating other Plasmodium species by 2025, through the launch of an innovative and targeted approach for…"
"Central African Republic","BTR",2024,1,0,0,0,1,0,0,"[5361 • System at risk] The agricultural sector has a high sensitivity to pockets of drought, flooding, a late start to the rainy season, and drought.",NA,NA,NA,"[5380 • Adaptation priorities] Raising public awareness and building capacity",NA,NA
"Chile","BTR",2024,1,1,0,1,1,1,1,"[1986 • System at risk] Combined with the megadrought, heat waves have intensified the conditions for large-scale and extensive forest fires","[2012 • Adaptation priorities] All priority sectors recognize water management as a critical priority, given Chile’s vulnerability to droughts and extreme weather events",NA,"[2039 • Result] Health (2016) achieved 63% progress, with key measures including the creation of a climate coordination unit and predictive studies of vector-borne diseases;","[2013 • Adaptation priorities] The 2020 NDC establishes eight commitments in terms of adaptation and focuses on updating studies on vulnerability and risks, strengthening adaptive capacity, and integrating adaptation and mitigation…","[2024 • Action] The update of the 2013 plan has evolved towards greater specificity, prioritising integrated water resource management, agro-environmental sustainability and agro-climatic risk management, moving away…","[2037 • Result] Biodiversity (2014) reached 81% progress in its 50 measures, with notable achievements such as the national biodiversity monitoring network and the use of wetlands as indicators of watershed health;"
"China","BTR",2024,0,1,1,0,1,1,0,NA,"[8939 • Adaptation priorities] By 2025, China aims to significantly enhance capabilities for flood and drought defense, secure and intensive utilization of water resources, optimized allocation of water resources, and ecological pr…","[8956 • Action] Pre-disaster coordination has been strengthened, and the mechanism for joint consultation, warning, and release was optimized, integrating large-scale, high-intensity, and potentially disaster-prone h…",NA,"[8936 • Adaptation priorities] strategy proposed specific adaptation tasks with varying focuses based on the impacts of climate change on different regions’ livelihoods, dividing key regions in China into three main adaptation zone…","[8959 • Action] The Blue Book on Climate Change of China 2023, the Blue Book on Marine Climate Change of China 2022, the China Climate Bulletin (2021, and 2022), the National Eco-meteorological Bulletin 2022, the Gre…",NA
"Colombia","BTR",2024,1,1,0,0,1,1,1,"[5703 • System at risk] In general, it has been identified as a trend that areas associated with dry ecosystems and desertification processes show signs of increasing water stress associated with the reduction in runoff and …","[5743 • Adaptation priorities] Create dynamic maps of agroclimatic risks such as frost, drought, and other phenomena, to disseminate them among agroclimatic committees.",NA,NA,"[5740 • Adaptation priorities] Development of guidelines applicable to tourism in vulnerable ecosystems.","[5754 • Action] In 2023, within the framework of the Nature-based Solutions Pilot for the Urrá Hydroelectric Plant, Córdoba: a characterization of the ecosystem services provided by the ecosystems around the Sinú Riv…","[5762 • Result] The wastewater treatment reported by the Superintendency of Public Services (SSPD) for 2022 indicates that 55.07% of the wastewater generated has been treated, corresponding to 36.33 million cubic met…"
"Costa Rica","BTR",2024,1,0,0,0,1,0,0,"[5845 • System at risk] Threat of entry into the country of the aggressive fungus Fusarium, which is easily spread by water, which could be aggravated by excessive rainfall and flooding.",NA,NA,NA,"[5877 • Adaptation priorities] Knowledge management on the effects of climate change, climate services and development of local and institutional capacities: it focuses on the generation of robust and reliable information, an obj…",NA,NA
"Croatia","BTR",2024,1,1,0,0,1,1,0,"[763 • System at risk] Climate change can increase the likelihood of disaster events and exacerbate their intensity. The main expected impacts that could cause high or medium vulnerability in this sector are landslides, flo…","[765 • Adaptation priorities] Support to planning, construction, reconstruction and upgrading the system for protection against harmful effects of water and related hydrotechnical systems (structural measures) and lowland natural …",NA,NA,"[772 • Adaptation priorities] Strengthening professional, research and management capacities for the protection of particularly valuable aquatic ecosystems","[853 • Action] NPOO.C6.1.R5.02 call for allocation of grants for implementation of the pilot projects for the development of green infrastructure and/or circular management of space and buildings at the local level …",NA
"Cuba","BTR",2024,1,1,1,1,1,1,1,"[6210 • System at risk] Terrestrial and coastal reptiles, due to their high sensitivity to temperature and aridity, and certain coastal species due to the destruction of their habitats caused by rising sea levels","[6273 • Adaptation priorities] Ensure the availability and efficient use of water as part of the fight against drought, from the application of technologies for savings and satisfaction of the local demands. Raise the hydraulic inf…","[6304 • Action] Identifying and obtaining Varieties with different capacities of tolerance to climatic phenomena, such as the occurrence of droughts, heavy rains or floods, as well as to the salinity and aridity of t…","[6307 • Result] The principles of sustainable agriculture and organic farming: while fertilizer application rates and pesticides are significantly reduced, 175 thousand hectares were benefited in the 2021 and 268 tho…","[6271 • Adaptation priorities] Plan the urban reorganization processes of the areas within the determined timeframes threatened settlements and infrastructure, in accordance with the conditions country's economic needs. Start with …","[6306 • Action] The most efficient irrigation technologies were implemented on 509,686 hectares, out of a total irrigated area of 627,806 hectares in 2022.","[6305 • Result] There has been released into agricultural production about 25 varieties of beans, 10 of corn, 12 of rice, 4 of sorghum, 2 of chickpeas, 62 of different root crops, 6 of sugar cane (4 of them introduce…"
"Czech Republic","BTR",2024,1,0,0,0,0,0,0,"[5422 • System at risk] The main impacts of climate change that pose risks to forestry are rising air temperatures, particularly spring and summer temperatures, decreasing summer precipitation and increased evapotranspiratio…",NA,NA,NA,NA,NA,NA
"Côte d'Ivoire","BTR",2024,1,1,0,0,1,0,0,"[5967 • System at risk] Extreme weather events will also have devastating effects on human settlements and on economic production sites, particularly in densely populated urban areas such as Abidjan or Bouaké. The houses ma…","[5995 • Adaptation priorities] The introduction of more drought-resistant crops and crop diversification to reduce the risks associated with climate variations",NA,NA,"[5995 • Adaptation priorities] The introduction of more drought-resistant crops and crop diversification to reduce the risks associated with climate variations",NA,NA
"Ecuador","BTR",2024,1,0,0,0,0,0,0,"[6072 • Hazard] Historical trend analysis shows an increase in precipitation in most sections of the road infrastructure with some sites where precipitation reductions occur (some sectors of the provinces of Los Ríos…",NA,NA,NA,NA,NA,NA
"Egypt","BTR",2024,1,1,1,0,1,1,0,"[1807 • System at risk] December 2010, January 2011, and October 2015: Storm surges reached 1.2 meters above sea level, causing coastal flooding in the Nile Delta and damage to coastal structures.","[1780 • Adaptation priorities] The National Strategy for Integrated Coastal Zone Management (ICZM) aims to address vulnerabilities in coastal areas by mitigating the impacts of sea-level rise and preserving marine biodiversity","[1839 • Action] Flood management plans",NA,"[1776 • Adaptation priorities] The National Climate Change Strategy (NCCS) 2050 is under active implementation, with priority given to enhancing infrastructure resilience and scaling up renewable energy projects, while promoting ge…","[1837 • Action] Groundwater extraction",NA
"Estonia","BTR",2024,1,0,1,0,0,1,0,"[1865 • System at risk] Extreme weather conditions, which may endanger human health, include storms and heavy rain (the resulting floods), which may also make vital medical assistance less accessible or even completely inacc…",NA,"[1912 • Action] In order to increase the rescue capacity, the Rescue Board has developed the ability to monitor and extinguish forest fires from the air and has acquired and deployed 15 drones (including 7 with a the…",NA,NA,"[1912 • Action] In order to increase the rescue capacity, the Rescue Board has developed the ability to monitor and extinguish forest fires from the air and has acquired and deployed 15 drones (including 7 with a the…",NA
"Finland","BTR",2024,1,0,1,1,0,1,1,"[2110 • System at risk] Drought can cause problems with water sufficiency and decreased groundwater levels can cause problems with water quality.",NA,"[2127 • Action] Developing risk profiles and emergency plans for various existing and emerging pests and diseases","[2136 • Result] Flood risk maps are also being produced for areas subject to potential fluvial or sea surge floods.",NA,"[2123 • Action] In order to stimulate forest growth, information on the use of processed forest reproductive material and new methods of forest reproduction have been developed","[2137 • Result] In the agricultural sector farmers have diversified crop rotations by introducing novel crops for cultivation, shifting cultivation of crops northwards and even substantially expanding field areas und…"
